TIME,Value
1983-06,100.7766
1983-07,100.7364
1983-08,100.5788
1983-09,100.4491
1983-10,100.4567
1983-11,100.6729
1983-12,101.0453
1984-01,101.4174
1984-02,101.5644
1984-03,101.5975
1984-04,101.4612
1984-05,101.3739
1984-06,101.3197
1984-07,101.399
1984-08,101.5401
1984-09,101.5653
1984-10,101.3783
1984-11,101.1759
1984-12,101.0294
1985-01,101.0091
1985-02,100.9613
1985-03,100.9374
1985-04,100.9386
1985-05,100.9397
1985-06,101.0068
1985-07,100.9275
1985-08,100.7621
1985-09,100.5939
1985-10,100.4847
1985-11,100.6029
1985-12,100.8463
1986-01,101.0526
1986-02,101.1509
1986-03,101.1788
1986-04,101.2237
1986-05,101.2896
1986-06,101.3968
1986-07,101.3319
1986-08,101.1327
1986-09,100.9425
1986-10,100.8409
1986-11,100.6398
1986-12,100.4709
1987-01,100.4352
1987-02,100.4687
1987-03,100.5495
1987-04,100.6379
1987-05,100.6744
1987-06,100.7545
1987-07,100.8683
1987-08,100.8736
1987-09,100.6705
1987-10,100.2895
1987-11,99.9882
1987-12,100.0673
1988-01,100.356
1988-02,100.6202
1988-03,100.7992
1988-04,100.8473
1988-05,100.949
1988-06,101.024
1988-07,101.0986
1988-08,101.2183
1988-09,101.2015
1988-10,101.0462
1988-11,100.9337
1988-12,100.9632
1989-01,101.1189
1989-02,101.0965
1989-03,100.9366
1989-04,100.7179
1989-05,100.5727
1989-06,100.5371
1989-07,100.5914
1989-08,100.6818
1989-09,100.851
1989-10,100.8319
1989-11,100.6937
1989-12,100.6111
1990-01,100.6082
1990-02,100.5881
1990-03,100.6649
1990-04,100.7233
1990-05,100.5787
1990-06,100.2607
1990-07,99.72362
1990-08,98.8618
1990-09,98.03386
1990-10,97.37213
1990-11,97.13715
1990-12,97.20859
1991-01,97.59654
1991-02,98.30429
1991-03,99.11137
1991-04,99.33933
1991-05,99.32034
1991-06,99.39312
1991-07,99.46156
1991-08,99.42174
1991-09,99.19883
1991-10,98.66841
1991-11,98.01101
1991-12,97.62421
1992-01,97.56993
1992-02,97.84281
1992-03,98.33242
1992-04,98.72137
1992-05,98.9428
1992-06,98.94933
1992-07,98.75462
1992-08,98.58475
1992-09,98.57307
1992-10,98.86428
1992-11,99.56036
1992-12,100.1268
1993-01,100.275
1993-02,100.1457
1993-03,99.937
1993-04,99.6787
1993-05,99.34875
1993-06,99.09217
1993-07,98.85378
1993-08,98.79266
1993-09,98.92863
1993-10,99.24274
1993-11,99.62038
1993-12,100.1684
1994-01,100.6403
1994-02,100.8088
1994-03,100.7967
1994-04,100.7635
1994-05,100.6935
1994-06,100.5743
1994-07,100.4931
1994-08,100.5446
1994-09,100.6238
1994-10,100.7292
1994-11,100.8573
1994-12,101.0551
1995-01,101.1471
1995-02,100.9982
1995-03,100.7504
1995-04,100.643
1995-05,100.6288
1995-06,100.7711
1995-07,100.9026
1995-08,100.8646
1995-09,100.599
1995-10,100.4234
1995-11,100.3363
1995-12,100.3632
1996-01,100.3814
1996-02,100.4611
1996-03,100.6234
1996-04,100.6554
1996-05,100.6323
1996-06,100.7534
1996-07,100.9311
1996-08,101.065
1996-09,101.1661
1996-10,101.3023
1996-11,101.4181
1996-12,101.4351
1997-01,101.4916
1997-02,101.623
1997-03,101.7709
1997-04,101.9545
1997-05,102.1619
1997-06,102.3509
1997-07,102.4781
1997-08,102.4811
1997-09,102.4932
1997-10,102.4855
1997-11,102.465
1997-12,102.4297
1998-01,102.5998
1998-02,102.7817
1998-03,102.7901
1998-04,102.7662
1998-05,102.6559
1998-06,102.5233
1998-07,102.3716
1998-08,102.1573
1998-09,101.8893
1998-10,101.7377
1998-11,101.8419
1998-12,102.001
1999-01,102.2679
1999-02,102.4998
1999-03,102.5391
1999-04,102.5337
1999-05,102.5823
1999-06,102.5947
1999-07,102.5328
1999-08,102.4643
1999-09,102.4528
1999-10,102.4299
1999-11,102.5612
1999-12,102.7434
2000-01,102.9991
2000-02,103.0577
2000-03,102.968
2000-04,102.9474
2000-05,102.9194
2000-06,102.8098
2000-07,102.7727
2000-08,102.7341
2000-09,102.6788
2000-10,102.558
2000-11,102.2783
2000-12,101.691
2001-01,101.109
2001-02,100.6836
2001-03,100.5
2001-04,100.4632
2001-05,100.6
2001-06,100.6879
2001-07,100.5922
2001-08,100.2567
2001-09,99.77334
2001-10,99.59906
2001-11,99.76344
2001-12,100.1612
2002-01,100.5459
2002-02,100.7764
2002-03,100.9847
2002-04,101.0434
2002-05,101.0144
2002-06,100.7355
2002-07,100.362
2002-08,100.0542
2002-09,99.78493
2002-10,99.58167
2002-11,99.59841
2002-12,99.59559
2003-01,99.39679
2003-02,99.22047
2003-03,99.3131
2003-04,99.79663
2003-05,100.2734
2003-06,100.4473
2003-07,100.4498
2003-08,100.3502
2003-09,100.3107
2003-10,100.4759
2003-11,100.8016
2003-12,101.1394
2004-01,101.4507
2004-02,101.3241
2004-03,101.1371
2004-04,100.9464
2004-05,100.8591
2004-06,101.0128
2004-07,101.1369
2004-08,101.1094
2004-09,100.9769
2004-10,100.8775
2004-11,100.949
2004-12,101.1003
2005-01,101.0839
2005-02,100.9105
2005-03,100.6546
2005-04,100.4446
2005-05,100.5204
2005-06,100.7992
2005-07,100.695
2005-08,100.0359
2005-09,99.23473
2005-10,98.97474
2005-11,99.40562
2005-12,100.0485
2006-01,100.3386
2006-02,100.2844
2006-03,100.138
2006-04,99.85761
2006-05,99.54337
2006-06,99.52023
2006-07,99.56052
2006-08,99.67002
2006-09,100.0213
2006-10,100.4892
2006-11,100.7466
2006-12,100.8753
2007-01,100.9109
2007-02,100.6623
2007-03,100.3595
2007-04,100.1656
2007-05,100.0984
2007-06,100.0531
2007-07,100.0273
2007-08,99.77202
2007-09,99.4878
2007-10,99.1597
2007-11,98.84129
2007-12,98.65395
2008-01,98.47388
2008-02,98.0405
2008-03,97.51803
2008-04,96.92908
2008-05,96.50624
2008-06,96.37327
2008-07,96.5997
2008-08,96.88657
2008-09,96.97136
2008-10,96.57789
2008-11,96.29182
2008-12,96.28349
2009-01,96.29153
2009-02,96.2625
2009-03,96.48761
2009-04,96.98717
2009-05,97.41702
2009-06,97.59499
2009-07,97.54458
2009-08,97.59328
2009-09,97.79153
2009-10,97.82458
2009-11,97.84022
2009-12,98.03433
2010-01,98.21426
2010-02,98.27559
2010-03,98.27214
2010-04,98.2494
2010-05,98.24799
2010-06,98.1422
2010-07,97.8256
2010-08,97.63251
2010-09,97.57597
2010-10,97.68552
2010-11,97.97171
2010-12,98.2507
2011-01,98.37113
2011-02,98.31657
2011-03,98.04565
2011-04,97.98069
2011-05,97.96323
2011-06,97.62151
2011-07,96.9799
2011-08,96.43224
2011-09,96.35753
2011-10,96.61517
2011-11,97.10645
2011-12,97.71413
2012-01,98.23219
2012-02,98.52102
2012-03,98.6602
2012-04,98.69921
2012-05,98.63656
2012-06,98.40713
2012-07,98.32629
2012-08,98.51691
2012-09,98.87185
2012-10,99.12639
2012-11,99.02944
2012-12,98.65468
2013-01,98.51059
2013-02,98.62617
2013-03,98.81338
2013-04,99.05145
2013-05,99.4312
2013-06,99.62753
2013-07,99.58522
2013-08,99.26995
2013-09,98.84216
2013-10,98.5777
2013-11,98.69049
2013-12,99.03146
2014-01,99.22554
2014-02,99.30423
2014-03,99.34045
2014-04,99.42244
2014-05,99.40714
2014-06,99.37749
2014-07,99.36829
2014-08,99.47487
2014-09,99.70435
2014-10,100.027
2014-11,100.4228
2014-12,100.8617
2015-01,101.1575
2015-02,101.16
2015-03,101.052
2015-04,100.9908
2015-05,100.9008
2015-06,100.9166
2015-07,100.7882
2015-08,100.5762
2015-09,100.3851
2015-10,100.4179
2015-11,100.5482
2015-12,100.6568
2016-01,100.6715
2016-02,100.6297
2016-03,100.5851
2016-04,100.6098
2016-05,100.7467
2016-06,100.7221
2016-07,100.558
2016-08,100.4394
2016-09,100.418
2016-10,100.504
2016-11,100.8724
2016-12,101.2499
2017-01,101.4157
2017-02,101.402
2017-03,101.3678
2017-04,101.3235
2017-05,101.2438
2017-06,101.1254
2017-07,101.0795
2017-08,101.1874
2017-09,101.3226
2017-10,101.49
2017-11,101.4675
2017-12,101.3752
2018-01,101.4079
2018-02,101.5863
2018-03,101.697
2018-04,101.6413
2018-05,101.5473
2018-06,101.4838
2018-07,101.4494
2018-08,101.4617
2018-09,101.5529
2018-10,101.5334
2018-11,101.4139
2018-12,101.2276
2019-01,101.0045
2019-02,101.0637
2019-03,101.3019
2019-04,101.4765
2019-05,101.5725
2019-06,101.47
2019-07,101.2168
2019-08,100.8934
2019-09,100.8934
2019-10,101.1149
2019-11,101.4083
2019-12,101.6571
2020-01,101.6553
2020-02,101.188
2020-03,100.0983
2020-04,98.91312
2020-05,98.36695
2020-06,98.31175
2020-07,98.32877
2020-08,98.5467
2020-09,98.88802
2020-10,99.06155
2020-11,99.04979
2020-12,99.11961
