DATE,housePriceIndex,TotalConstruction,TotalPrivateConstruction,TotalPublicConstruction,averageIncome,consumerPriceIndex,grossValueAdded,dwellingsAuthorizedPermit,dwellingsCompletedPermit,dwellingsInProgressPermit,dwellingsStarted,dwellingsStartedPermit, Population per Square KM,consumerConfidenceIndex,grossDisposableHouseholdIncome,unemploymentRate,Homeownership(in %),interestRatesinUS,mortgageRatesinUS,Annual % Change in Population Density
1997-12-31,85.31841666666666,631188.3333333335,477980.75,153207.75,58961.0,2.337689937,8577600000000.0,17307.0,16366.0,9642.0,17695.0,17210.0,27.6370196,102.18211666666666,24715.92829,4.941666666666666,65.7,5.0,7.598846153846152,1.26
1998-12-31,90.09733333333332,686466.6666666665,532239.3333333335,154227.5,61128.0,1.5522790990000002,9062600000000.0,19433.0,17148.0,10804.0,19454.0,18840.0,27.989118800000004,102.34298333333332,26049.71122,4.5,66.275,4.9158333333333335,6.94264150943396,1.27
1999-12-31,96.37016666666666,744745.1666666665,575231.4166666665,169513.75,62641.0,2.188027197,9630700000000.0,19967.0,18750.0,11394.0,19767.0,19173.0,28.332184,102.51682500000004,27068.23986,4.216666666666668,66.80000000000001,4.618333333333333,7.439999999999999,1.23
2000-12-31,104.76791666666666,803704.5,621825.5,181878.91666666663,62512.0,3.3768572710000004,10252200000000.0,19180.0,18470.0,11352.0,18880.0,18368.0,28.6538801,102.70119166666667,28790.60665,3.9666666666666655,67.375,5.732499999999999,8.053461538461539,1.14
2001-12-31,113.1785,839778.3333333335,638206.0833333335,201572.25,61126.0,2.826171119,10581900000000.0,19646.0,18305.0,11589.0,19214.0,18689.0,28.9485535,100.34913666666668,29947.83231,4.741666666666666,67.82499999999999,3.41,6.967884615384613,1.03
2002-12-31,122.27825,848339.5,634485.0833333335,213854.41666666663,60435.0,1.586031627,10936200000000.0,20988.0,19290.0,11890.0,20523.0,20006.0,29.220264,100.33975833333334,31110.541610000004,5.783333333333334,67.925,1.1733333333333331,6.537307692307693,0.94
2003-12-31,133.73083333333335,890520.8333333335,674323.8333333335,216196.91666666663,60360.0,2.270094973,11458200000000.0,22661.0,19647.0,12771.0,22245.0,21658.0,29.478235,100.1646075,32335.87534,5.991666666666667,68.25,2.1041666666666665,5.826981132075472,0.88
2004-12-31,150.43925000000004,989220.0,769277.0,219943.0833333333,60150.0,2.677236693,12213700000000.0,24691.0,21557.0,14577.0,23394.0,23019.0,29.736496,101.07335,33954.94024,5.541666666666668,69.0,2.395833333333333,5.8392307692307694,0.88
2005-12-31,171.73691666666662,1114935.333333333,881368.4166666665,233565.41666666663,60794.0,3.392746845,13036400000000.0,25921.0,22846.0,15928.0,24875.0,24519.0,30.0049037,100.23397416666666,35225.32173,5.083333333333333,68.875,4.25,5.866730769230768,0.9
2006-12-31,183.4485,1164342.5,909076.3333333335,255266.25,61268.0,3.225944101,13814500000000.0,22124.0,23562.0,16047.0,21743.0,21419.0,30.2861889,100.08709583333332,37235.51222,4.608333333333333,68.775,6.020833333333332,6.413269230769231,0.94
