"Country or Area","Year","Item","Value"
"United States","2009","Other Activities (ISIC J-P)","8052400000000"
"United States","2009","Total Value Added","14448600000000"
"United States","2008","Agriculture, hunting, forestry, fishing (ISIC A-B)","147200000000"
"United States","2008","Mining, Manufacturing, Utilities (ISIC C-E)","2471600000000"
"United States","2008","Manufacturing (ISIC D)","1800800000000"
"United States","2008","Construction (ISIC F)","648900000000"
"United States","2008","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2132500000000"
"United States","2008","Transport, storage and communication (ISIC I)","1414200000000"
"United States","2008","Other Activities (ISIC J-P)","7898300000001"
"United States","2008","Total Value Added","14712700000000"
"United States","2007","Agriculture, hunting, forestry, fishing (ISIC A-B)","144100000000"
"United States","2007","Mining, Manufacturing, Utilities (ISIC C-E)","2426100000000"
"United States","2007","Manufacturing (ISIC D)","1844700000000"
"United States","2007","Construction (ISIC F)","715300000000"
"United States","2007","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2123100000000"
"United States","2007","Transport, storage and communication (ISIC I)","1354000000000"
"United States","2007","Other Activities (ISIC J-P)","7689100000000"
"United States","2007","Total Value Added","14451700000000"
"United States","2006","Agriculture, hunting, forestry, fishing (ISIC A-B)","125100000000"
"United States","2006","Mining, Manufacturing, Utilities (ISIC C-E)","2325600000000"
"United States","2006","Manufacturing (ISIC D)","1793800000000"
"United States","2006","Construction (ISIC F)","697100000000"
"United States","2006","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2062500000000"
"United States","2006","Transport, storage and communication (ISIC I)","1277100000000"
"United States","2006","Other Activities (ISIC J-P)","7327100000000"
"United States","2006","Total Value Added","13814500000000"
"United States","2005","Agriculture, hunting, forestry, fishing (ISIC A-B)","128300000000"
"United States","2005","Mining, Manufacturing, Utilities (ISIC C-E)","2150800000000"
"United States","2005","Manufacturing (ISIC D)","1693400000000"
"United States","2005","Construction (ISIC F)","651800000000"
"United States","2005","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1954700000000"
"United States","2005","Transport, storage and communication (ISIC I)","1215900000000"
"United States","2005","Other Activities (ISIC J-P)","6934900000001"
"United States","2005","Total Value Added","13036400000000"
"United States","2004","Agriculture, hunting, forestry, fishing (ISIC A-B)","142900000000"
"United States","2004","Mining, Manufacturing, Utilities (ISIC C-E)","2005700000000"
"United States","2004","Manufacturing (ISIC D)","1608100000000"
"United States","2004","Construction (ISIC F)","584600000000"
"United States","2004","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1836000000000"
"United States","2004","Transport, storage and communication (ISIC I)","1161500000000"
"United States","2004","Other Activities (ISIC J-P)","6482999999999"
"United States","2004","Total Value Added","12213700000000"
"United States","2003","Agriculture, hunting, forestry, fishing (ISIC A-B)","114000000000"
"United States","2003","Mining, Manufacturing, Utilities (ISIC C-E)","1879400000000"
"United States","2003","Manufacturing (ISIC D)","1524200000000"
"United States","2003","Construction (ISIC F)","525200000000"
"United States","2003","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1732100000000"
"United States","2003","Transport, storage and communication (ISIC I)","1066300000000"
"United States","2003","Other Activities (ISIC J-P)","6141200000000"
"United States","2003","Total Value Added","11458200000000"
"United States","2002","Agriculture, hunting, forestry, fishing (ISIC A-B)","95600000000"
"United States","2002","Mining, Manufacturing, Utilities (ISIC C-E)","1788900000000"
"United States","2002","Manufacturing (ISIC D)","1468500000000"
"United States","2002","Construction (ISIC F)","493600000000"
"United States","2002","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1655400000000"
"United States","2002","Transport, storage and communication (ISIC I)","1031100000000"
"United States","2002","Other Activities (ISIC J-P)","5871600000000"
"United States","2002","Total Value Added","10936200000000"
"United States","2001","Agriculture, hunting, forestry, fishing (ISIC A-B)","99800000000"
"United States","2001","Mining, Manufacturing, Utilities (ISIC C-E)","1807500000000"
"United States","2001","Manufacturing (ISIC D)","1473800000000"
"United States","2001","Construction (ISIC F)","486500000000"
"United States","2001","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1617300000000"
"United States","2001","Transport, storage and communication (ISIC I)","988900000000"
"United States","2001","Other Activities (ISIC J-P)","5581899999999"
"United States","2001","Total Value Added","10581900000000"
"United States","2000","Agriculture, hunting, forestry, fishing (ISIC A-B)","98300000000"
"United States","2000","Mining, Manufacturing, Utilities (ISIC C-E)","1867000000000"
"United States","2000","Manufacturing (ISIC D)","1550200000000"
"United States","2000","Construction (ISIC F)","461300000000"
"United States","2000","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1595600000000"
"United States","2000","Transport, storage and communication (ISIC I)","956400000000"
"United States","2000","Other Activities (ISIC J-P)","5273600000001"
"United States","2000","Total Value Added","10252200000000"
"United States","1999","Agriculture, hunting, forestry, fishing (ISIC A-B)","92600000000"
"United States","1999","Mining, Manufacturing, Utilities (ISIC C-E)","1778300000000"
"United States","1999","Manufacturing (ISIC D)","1488900000000"
"United States","1999","Construction (ISIC F)","417600000000"
"United States","1999","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1500300000000"
"United States","1999","Transport, storage and communication (ISIC I)","939000000000"
"United States","1999","Other Activities (ISIC J-P)","4902900000000"
"United States","1999","Total Value Added","9630700000000"
"United States","1998","Agriculture, hunting, forestry, fishing (ISIC A-B)","99800000000"
"United States","1998","Mining, Manufacturing, Utilities (ISIC C-E)","1698700000000"
"United States","1998","Manufacturing (ISIC D)","1430600000000"
"United States","1998","Construction (ISIC F)","379800000000"
"United States","1998","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1429800000000"
"United States","1998","Transport, storage and communication (ISIC I)","863200000000"
"United States","1998","Other Activities (ISIC J-P)","4591300000000"
"United States","1998","Total Value Added","9062600000000"
"United States","1997","Agriculture, hunting, forestry, fishing (ISIC A-B)","108600000000"
"United States","1997","Mining, Manufacturing, Utilities (ISIC C-E)","1671400000000"
"United States","1997","Manufacturing (ISIC D)","1382900000000"
"United States","1997","Construction (ISIC F)","339600000000"
"United States","1997","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1329000000000"
"United States","1997","Transport, storage and communication (ISIC I)","784100000000"
"United States","1997","Other Activities (ISIC J-P)","4344900000000"
"United States","1997","Total Value Added","8577600000000"
"United States","1996","Agriculture, hunting, forestry, fishing (ISIC A-B)","108934153846"
"United States","1996","Mining, Manufacturing, Utilities (ISIC C-E)","1605183159582"
"United States","1996","Manufacturing (ISIC D)","1319147868948"
"United States","1996","Construction (ISIC F)","317709757540"
"United States","1996","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1239130762441"
"United States","1996","Transport, storage and communication (ISIC I)","742557319550"
"United States","1996","Other Activities (ISIC J-P)","4038115584639"
"United States","1996","Total Value Added","8051630737598"
"United States","1995","Agriculture, hunting, forestry, fishing (ISIC A-B)","91725230769"
"United States","1995","Mining, Manufacturing, Utilities (ISIC C-E)","1563066717567"
"United States","1995","Manufacturing (ISIC D)","1292183524210"
"United States","1995","Construction (ISIC F)","291501714962"
"United States","1995","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1168390318419"
"United States","1995","Transport, storage and communication (ISIC I)","711002252169"
"United States","1995","Other Activities (ISIC J-P)","3811290011515"
"United States","1995","Total Value Added","7636976245401"
"United States","1994","Agriculture, hunting, forestry, fishing (ISIC A-B)","98993076923"
"United States","1994","Mining, Manufacturing, Utilities (ISIC C-E)","1483686746347"
"United States","1994","Manufacturing (ISIC D)","1226125891563"
"United States","1994","Construction (ISIC F)","276439621526"
"United States","1994","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","1114974064770"
"United States","1994","Transport, storage and communication (ISIC I)","674815248292"
"United States","1994","Other Activities (ISIC J-P)","3594319607250"
"United States","1994","Total Value Added","7243228365108"
"United States","1993","Agriculture, hunting, forestry, fishing (ISIC A-B)","90472153846"
